T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T13,T14,T16,T17,T18,T19,T21,T22,T23,T24
1,5,1,3,1,3,1,1,4,3,1,1,2,3,2,3,6,1,1,2
1,2,1,1,1,11,4,4,11,1,1,1,2,3,4,3,1,1,3,3
1,1,2,1,9,2,1,9,4,1,1,1,2,3,2,9,4,3,4,2
5,3,3,9,3,3,1,1,1,3,4,1,2,3,1,11,1,4,1,1
1,10,1,11,1,4,4,1,1,11,3,1,2,3,1,3,3,3,3,1
1,1,1,1,1,2,1,7,1,1,4,1,2,1,1,4,1,1,1,2
1,1,2,1,1,1,1,1,1,3,2,1,2,11,1,1,2,3,1,1
1,2,1,2,1,11,2,4,2,1,2,2,2,2,1,2,8,10,1,1
1,1,2,1,1,3,1,1,2,9,1,1,2,10,2,1,2,1,1,1
1,3,1,3,3,4,3,3,3,1,4,3,2,3,2,9,2,1,3,3
5,1,4,2,1,8,3,1,6,3,2,1,2,1,1,1,1,4,1,1
1,2,3,2,4,3,1,1,3,9,2,11,1,7,1,3,1,1,3,3
1,9,4,1,4,3,1,1,1,9,3,1,2,3,2,2,3,1,1,3
1,1,9,1,4,2,1,4,11,3,1,4,11,10,1,1,1,1,4,2
3,9,3,1,14,11,1,2,3,1,1,3,2,10,2,3,1,7,2,1
1,1,1,1,1,11,1,1,1,3,3,1,1,1,1,1,1,1,3,3
3,3,3,1,3,2,3,1,1,9,4,4,2,1,2,11,3,1,11,1
3,3,9,2,3,1,1,1,2,1,3,1,1,2,2,1,1,1,1,1
1,10,10,2,3,1,3,3,7,1,4,1,5,10,11,9,1,1,4,4
1,1,4,3,4,1,1,4,1,3,2,3,2,1,1,3,3,1,3,3
1,3,3,1,1,1,4,1,1,9,2,11,1,1,2,10,6,7,3,1
1,1,1,1,4,11,4,1,2,1,1,4,4,1,2,4,3,1,2,9
3,11,1,1,4,1,1,1,1,1,2,1,1,11,1,2,2,1,2,1
3,1,4,1,14,1,1,1,2,1,1,1,2,1,1,2,2,1,3,1
12,1,2,1,2,1,1,1,3,3,2,1,1,3,12,4,1,1,2,3
1,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,11,11
4,7,4,1,1,2,4,1,2,9,4,1,2,11,1,2,2,1,3,3
3,1,1,3,2,11,1,9,1,9,2,1,2,1,2,1,6,1,1,2
3,1,3,1,14,1,1,1,1,1,4,1,1,1,4,4,6,3,1,4
1,1,1,2,1,11,1,4,2,3,2,3,4,1,2,4,2,4,3,1
5,1,1,1,1,1,9,1,4,3,4,1,1,1,1,1,3,4,3,3
3,9,3,9,2,1,2,4,6,1,3,3,11,3,2,2,4,3,3,1
1,2,1,4,1,2,4,1,2,1,2,1,2,1,1,1,1,1,1,3
3,1,1,1,1,1,1,1,1,1,4,11,4,2,1,4,2,12,3,3
1,2,9,1,1,2,1,1,1,1,4,1,1,1,1,2,2,1,3,1
4,1,3,1,1,1,11,9,1,1,1,4,11,1,1,9,1,1,1,6
1,1,1,1,1,3,1,1,6,3,3,1,11,1,4,4,1,7,1,1
1,1,2,1,1,2,9,9,1,3,1,1,2,1,2,9,6,1,2,1
1,1,1,1,1,11,1,4,6,1,3,2,2,2,1,11,2,3,3,3
4,9,9,4,4,1,2,9,2,1,3,2,2,11,2,3,3,1,1,2
1,1,9,2,14,1,1,1,1,3,3,3,2,3,2,1,2,1,1,1
1,9,4,4,3,1,3,1,2,3,1,1,1,10,2,11,1,1,3,1
3,3,1,3,4,1,3,9,2,1,2,1,2,3,1,3,2,4,1,2
11,1,10,1,14,1,3,4,2,1,4,1,2,9,1,1,2,1,3,2
3,9,4,9,4,1,1,4,2,9,4,1,2,11,2,1,1,3,3,3
3,1,4,9,1,1,1,1,1,3,4,1,2,1,2,11,4,1,3,1
11,1,4,3,1,1,3,4,4,9,1,1,1,10,2,4,3,1,1,2
1,11,1,1,4,1,1,2,1,3,2,1,1,1,1,1,3,1,4,1
3,1,2,1,1,1,4,1,1,1,4,1,2,1,2,4,1,1,3,1
1,9,3,1,2,1,1,2,1,9,4,11,2,11,1,1,2,1,1,1
1,1,1,1,1,11,1,1,11,1,2,2,2,9,2,3,6,3,1,3
1,1,1,1,4,1,1,1,1,3,2,1,1,1,1,4,3,1,1,1
1,7,1,1,4,4,1,4,2,1,1,1,1,1,1,3,4,4,1,9
4,3,3,1,2,1,1,4,1,9,1,1,2,3,1,11,3,3,1,2
1,3,1,1,2,1,3,9,2,3,1,5,2,9,1,1,1,1,10,1
4,3,1,1,1,2,4,1,1,9,4,11,2,2,2,2,2,10,1,1
1,2,1,1,4,11,1,1,2,1,4,1,1,1,1,1,2,1,1,3
1,9,9,3,3,3,3,9,1,3,4,3,2,11,2,1,4,12,1,2
1,1,1,1,1,11,1,1,1,4,4,4,2,1,1,11,1,3,1,11
3,1,4,1,1,1,1,4,4,1,1,1,2,11,2,3,8,4,1,6
1,3,9,1,4,1,1,1,1,1,1,3,2,3,2,2,2,4,3,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,11,1,4,6,1,1,1,2,4,1,1,1,1,3,1
3,9,1,1,1,11,4,4,1,1,4,1,2,4,2,1,3,4,3,1
5,3,1,3,1,3,2,4,11,9,3,1,1,1,1,3,6,1,1,11
3,1,1,1,1,2,1,1,1,1,4,1,2,3,2,1,2,3,3,3
1,1,1,1,1,11,1,1,1,1,2,1,1,11,1,1,1,12,1,1
1,1,1,1,1,1,1,1,3,1,1,2,2,11,1,2,1,1,1,1
1,1,1,1,4,4,1,2,2,1,1,1,2,3,1,1,1,3,3,3
3,1,1,1,14,1,1,4,4,9,2,1,2,3,4,1,3,1,3,1
3,11,1,11,14,11,4,1,2,9,1,3,4,3,11,3,3,3,1,1
1,1,1,1,4,4,1,1,1,1,4,1,1,1,2,2,1,1,1,2
5,1,2,1,1,4,9,1,4,9,3,1,2,11,1,3,1,3,3,2
3,3,1,11,4,4,4,1,1,3,4,4,4,4,2,3,3,7,1,3
3,1,1,3,2,11,1,1,2,1,3,4,1,1,4,10,4,4,1,2
3,9,1,1,1,11,4,4,4,4,1,1,4,9,4,1,3,3,1,9
1,1,1,1,4,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
3,3,1,11,4,11,1,1,1,1,4,1,2,1,1,3,3,1,1,1
3,9,3,2,4,1,1,1,4,4,4,3,1,3,2,1,2,3,3,3
3,9,1,1,4,8,1,1,1,1,1,2,11,10,2,3,1,1,3,3
1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,11,8,3,1,1
1,3,1,2,1,11,1,2,3,4,1,4,2,1,4,11,3,1,3,11
1,1,1,4,1,4,1,1,1,1,1,1,2,1,2,1,1,1,1,1
3,1,9,1,4,14,4,4,1,3,2,4,2,1,2,11,1,4,3,9
3,3,3,9,3,3,4,3,3,9,3,4,2,1,2,3,2,1,3,2
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
5,9,1,1,14,1,4,1,1,9,4,2,2,9,2,1,1,3,1,1
3,3,1,1,4,2,1,1,1,4,4,4,4,3,2,3,3,3,3,3
3,3,1,11,3,11,2,3,1,9,9,3,2,3,2,3,3,1,3,1
3,1,1,1,1,11,4,2,2,11,1,1,2,3,1,3,3,1,3,3
3,9,3,4,1,3,4,3,1,3,1,11,2,3,2,11,1,4,4,1
3,1,1,1,14,1,1,4,1,4,4,3,2,1,11,1,3,3,3,3
1,1,9,1,1,1,1,1,2,9,1,1,2,1,4,4,1,3,3,1
1,1,2,1,1,11,1,1,1,1,1,2,2,11,2,2,1,1,3,2
1,9,9,1,1,11,1,2,11,9,2,4,2,3,2,1,2,4,4,6
1,1,4,11,1,11,4,3,1,3,9,1,2,3,2,3,3,7,3,3
5,3,1,3,3,1,3,3,1,3,3,1,2,1,2,3,6,7,3,3
3,1,1,11,1,1,1,4,2,1,4,1,1,1,1,3,1,1,1,3
3,5,4,4,1,1,4,4,1,4,1,1,2,1,2,3,1,4,3,3
1,9,9,8,1,4,4,2,1,4,4,1,1,9,2,9,1,3,2,2
3,1,1,1,1,2,9,1,4,11,4,1,1,11,1,4,3,3,4,1
1,9,1,1,1,14,2,1,1,1,4,1,1,3,1,1,1,3,1,2
3,9,9,1,14,11,1,1,1,1,4,11,2,9,1,4,1,3,1,3
3,1,1,1,1,11,1,1,1,1,4,1,1,1,1,1,1,1,1,1
4,1,1,11,4,2,2,1,6,9,1,1,1,3,1,1,1,1,3,3
1,1,9,1,1,11,1,1,2,11,1,1,2,9,1,3,8,1,1,1
5,1,3,1,1,11,1,4,4,1,4,1,2,11,2,10,2,1,3,11
3,3,9,3,4,3,4,3,3,4,4,3,2,3,2,11,3,12,1,3
3,3,3,3,3,3,4,4,1,1,4,3,1,4,2,11,1,3,3,3
1,9,3,3,2,3,2,3,1,1,4,3,2,11,2,3,2,1,3,3
1,1,1,11,1,11,11,1,2,9,2,1,2,10,2,3,1,3,3,1
1,1,1,1,14,4,4,1,1,1,1,2,1,1,1,10,1,3,1,2
4,1,1,1,4,3,1,1,3,9,2,1,2,11,2,11,1,1,3,3
1,9,3,1,3,3,1,1,1,3,2,1,1,4,4,3,1,1,3,3
1,9,1,1,1,2,1,7,1,4,3,3,1,11,2,11,1,3,1,3
1,1,1,1,1,1,2,1,6,1,3,2,2,1,12,2,1,1,1,3
3,1,1,11,4,1,2,1,1,3,4,1,1,1,1,3,1,1,1,1
1,1,1,1,4,4,4,1,1,9,3,4,4,9,11,3,3,3,3,9
3,9,4,2,4,4,1,1,3,3,2,3,2,4,2,3,3,3,3,1
1,1,1,1,1,11,4,4,1,1,2,1,1,11,1,1,1,7,1,1
3,3,1,1,1,11,1,4,2,4,4,1,2,1,2,2,1,3,3,9
3,2,1,1,1,1,1,1,1,9,4,2,1,2,1,3,6,4,3,1
1,1,1,1,4,5,1,4,4,1,2,4,2,3,1,3,1,1,1,1
1,1,1,2,1,11,2,1,2,1,4,1,2,14,2,2,2,1,1,4
1,1,10,4,4,2,1,1,1,3,2,1,2,1,1,1,1,1,1,1
5,1,1,1,14,1,1,1,4,1,3,3,11,10,11,3,8,3,3,1
1,3,1,1,1,11,1,1,1,9,1,1,2,9,2,1,1,7,1,2
11,1,1,9,4,1,1,1,2,1,3,3,1,2,2,11,1,3,3,9
3,9,4,1,4,1,3,4,1,1,1,2,4,1,4,3,3,4,3,3
1,3,10,1,14,3,1,1,4,1,9,1,2,3,2,3,3,1,1,11
1,1,3,1,1,1,1,1,1,9,1,1,2,2,11,1,2,1,2,2
1,3,2,3,3,3,9,3,3,1,4,3,2,1,2,11,8,1,3,2
1,3,1,1,14,11,1,1,2,1,3,4,2,3,1,3,2,7,1,1
5,3,3,3,3,1,3,1,1,3,4,1,2,3,1,11,2,1,4,2
1,1,3,1,1,2,1,9,11,9,2,5,2,1,1,4,2,1,3,2
3,3,4,1,4,1,3,1,1,9,2,1,5,3,1,11,2,1,1,1
3,2,1,1,1,4,1,1,2,1,1,1,1,1,1,2,2,7,1,1
1,1,1,2,9,2,1,1,4,1,1,1,11,9,2,9,1,1,1,1
1,9,3,9,3,3,3,3,1,3,4,1,1,3,1,1,2,4,11,2
1,1,2,1,14,1,1,2,2,9,4,1,1,2,1,4,6,1,4,2
1,1,4,1,1,2,4,7,11,9,1,3,2,4,1,1,4,1,3,3
1,9,4,1,1,3,2,2,2,11,2,1,4,3,11,3,4,7,3,9
1,7,1,1,14,11,1,4,1,1,2,1,2,1,2,1,1,3,3,1
1,9,1,1,3,2,1,2,1,9,1,11,2,4,2,9,2,1,1,12
1,7,1,1,1,5,1,2,3,9,2,5,2,2,2,10,4,4,4,9
4,7,1,1,1,1,1,1,1,1,1,1,2,11,1,2,1,12,1,3
1,11,1,3,1,1,1,1,1,1,9,1,1,3,1,1,4,4,4,1
4,3,4,2,2,14,1,2,1,3,1,1,2,11,2,4,4,1,4,1
1,1,1,1,4,2,3,3,2,3,1,11,2,1,2,1,8,3,1,6
3,3,4,3,3,3,3,3,2,9,1,3,2,11,1,11,2,1,1,2
1,1,9,1,14,1,2,1,4,3,4,1,2,1,4,2,1,3,1,1
1,1,1,1,14,1,5,1,6,3,4,1,11,3,11,1,12,1,4,11
3,1,1,1,14,3,2,1,1,1,3,3,1,1,1,1,8,3,1,2
1,1,1,1,1,11,1,1,1,9,1,1,1,11,1,1,1,3,11,1
4,1,3,2,4,3,4,1,1,1,2,3,2,11,1,3,3,1,3,3
1,1,1,1,3,3,9,3,4,9,4,1,2,8,2,10,2,1,1,2
11,1,1,1,14,11,1,1,6,1,3,1,4,1,11,3,6,1,3,9
1,2,1,2,1,4,1,1,2,3,1,1,2,11,2,3,3,10,1,2
3,1,1,9,14,11,1,1,4,3,9,4,2,4,1,1,2,1,1,1
1,3,9,9,2,4,3,3,3,1,3,1,2,11,2,11,2,1,1,2
3,3,9,2,1,1,9,2,1,9,4,3,1,3,2,1,4,1,4,2
1,1,2,1,1,1,1,1,1,1,4,1,2,11,1,11,8,1,1,1
